20240316	12:31:34	afab7cb5-6993-4b73-83a0-85ddaae3f856	/new-page.html	GET
20240316	12:31:35	74072e9b-889f-4e77-8e28-037abd70568c	/favicon.ico	GET
20240316	12:32:46	f4faaf54-e354-4283-8bde-865e0dc90cc1	/new-page.html	GET
20240316	13:34:33	e3161981-c1ab-4283-8c6c-1add0ec72b10	GET	undefined	/
20240316	13:34:33	ac1191ae-0d9d-4cec-8183-930e4dfe3738	GET	undefined	/css/style.css
20240316	13:37:53	09018d4e-5f09-4d92-97e3-b0bd6f619097	GET	undefined	/
20240316	13:37:53	37850a77-d006-4159-b762-a4128e487045	GET	undefined	/css/style.css
20240316	13:43:31	3432513b-7a55-4b6b-a8f3-ecf302fe0c3f	OPTIONS	https://www.google.de	/
20240316	13:43:31	ef5f610b-a204-461e-9a3e-fac3f4d10403	GET	https://www.google.de	/
20240316	13:49:22	ad712576-6993-49dc-aacf-03c517e86ba1	OPTIONS	https://www.google.de	/
20240316	13:49:22	6bb479eb-7a4b-414b-bb83-ca4d9c72530d	GET	https://www.google.de	/
20240316	13:49:37	328902ac-b47f-4c3e-92a0-a02a20667ca2	OPTIONS	https://www.google.de	/
20240316	13:49:37	c7fa1439-a7e7-4bc8-8ede-6a7eed43c337	GET	https://www.google.de	/
20240316	13:52:06	a7f9612c-a47e-4d6f-88d2-ca9fef62668d	GET	undefined	/css/style.css
20240316	13:53:16	0072e897-f3b4-4577-add5-700e54cf3af0	GET	undefined	/
20240316	13:53:17	733f938e-2949-446e-ab9a-a563a762c468	GET	undefined	/css/style.css
20240316	13:58:05	c1dd3d3e-e8de-43ac-9c53-874a284e9316	GET	undefined	/
20240316	13:58:51	64172b6b-270d-4bbe-aa41-94edf0bae960	GET	undefined	/
20240316	13:58:51	6498b9f2-9863-4adf-98f0-3983435a5fab	GET	undefined	/css/style.css
20240316	14:00:09	5026f4f8-71e6-4c61-8616-96c182ce1cba	GET	undefined	/dave
20240316	14:00:09	c866a124-7cd1-4561-9dc8-3e25b378dd0f	GET	undefined	/css/style.css
20240316	14:03:23	3b69dd02-c6f9-435a-9c0c-135ffdd4b223	GET	undefined	/dave
20240316	14:03:24	185cce68-4945-46b6-8d9d-de2368e70033	GET	undefined	/css/style.css
20240316	14:04:08	021bf651-fa02-4e93-ad29-201cfd5663ef	GET	undefined	/dave
20240316	14:04:08	2d391aff-b401-4dcb-be5d-4fda9e68d7b9	GET	undefined	/css/style.css
20240316	14:19:39	fd5aca12-934d-4c14-b9c8-520a6d0b69cf	GET	undefined	/
20240316	14:19:39	e2e55032-1797-41be-9453-d33353ecaad0	GET	undefined	/css/style.css
20240316	14:19:51	1faa6ac8-29ae-47ba-98fb-188378f5f44e	GET	undefined	/subdir
20240316	14:20:05	4d5a0c58-4b8f-4a9c-b474-69fa97ddc95d	GET	undefined	/subdir/test.html
20240316	14:20:17	bd5e78d1-ae51-4762-8bb7-962a3be0dab9	GET	undefined	/subdir/test2.html
20240316	14:20:17	95a2f4ba-74e7-4b84-9a82-f96aa1ce7e77	GET	undefined	/subdir/css/style.css
20240316	14:22:05	e556e2ea-8cfa-41a0-90fa-4e97057633e6	GET	undefined	/subdir/test2.html
20240316	14:22:05	86cb80c7-0c42-495b-8170-cda5e6390091	GET	undefined	/subdir/css/style.css
20240316	14:26:30	e14ab9c2-a757-41df-95db-b95b37519531	GET	undefined	/
20240316	14:26:30	6cc4f39d-b7be-4adb-8f60-98c2ef2526c3	GET	undefined	/css/style.css
20240316	14:26:35	68407818-6d37-41a5-bfca-885155feb10f	GET	undefined	/new-page.html
20240316	14:26:35	6c31a3eb-b0e9-4b76-8e51-654de91217aa	GET	undefined	/css/style.css
20240316	14:26:35	3cd9a5fb-16e1-44c0-8caa-f876eab3fdac	GET	undefined	/img/img1.jpg
20240316	14:26:57	96b559c4-a488-4ca3-9663-f13c63306794	GET	undefined	/old-page.html
20240316	14:26:57	6eea248a-7210-4846-9683-11d4a42c60f3	GET	undefined	/new-page.html
20240316	14:26:57	835f1031-85b5-4ab0-9fa5-08a405e867e7	GET	undefined	/css/style.css
20240316	14:26:57	de5978c9-ca11-4ea1-b52e-e7e958318eec	GET	undefined	/img/img1.jpg
20240316	14:27:04	6cd8c903-380b-44bc-99cc-63a0b6accced	GET	undefined	/index.html
20240316	14:27:04	7dea6a6f-9d90-431a-abd8-5d8cfbf94695	GET	undefined	/css/style.css
20240316	14:42:32	d844d2ee-1c76-4c05-81ef-e8e260a1e6bb	GET	undefined	/employees
20240316	14:44:38	f3b9b843-ad23-47e2-939b-77c410cf4dd3	GET	undefined	/employees
20240316	14:46:13	a67b6e61-179d-469f-971a-021faafaeee2	POST	undefined	/employees
20240316	14:47:40	f7ef7de0-a603-4c63-8c8b-ed1b480c3fab	PUT	undefined	/employees
20240316	14:48:24	9cb9bfc7-71f5-4f28-9d35-53a21f38aace	DELETE	undefined	/employees
20240316	14:48:48	aff3ad08-b989-4673-8a64-55ec4658b7ef	GET	undefined	/employees/1
20240316	16:31:14	3c0f458a-cb3c-4a69-94aa-eb7ca8521ce3	GET	undefined	/employees
20240316	16:31:33	72053f3f-4749-458f-b394-02fa0a209024	POST	undefined	/employees
20240316	16:32:36	c8c80639-083d-4144-86f7-74bf3b003dff	GET	undefined	/employees
20240316	16:32:44	8b20d979-a7cb-4b7c-ad94-6c5b2a57fc55	POST	undefined	/employees
20240316	16:33:16	c8672116-128f-487a-a287-303012bb6af5	PUT	undefined	/employees
20240316	16:33:44	f0480d14-38f0-4076-8ad9-e15b4f894a14	DELETE	undefined	/employees
20240316	16:33:58	741de5d0-4371-42c9-ab09-8be2cc81e695	GET	undefined	/employees/1
20240316	16:35:26	645fbd09-deb0-403e-b738-d2cfff746345	GET	undefined	/employees/1
